Package Name,Price,Original Price,Gender,Tests Included,Description
Sri Neevi Mini,499,999,Both,Complete Blood Count (CBC)|FBS|PPBS|Thyroid Profile (TFT)|HbA1c,Essential starter panel for routine health screening
Sri Neevi Basic,999,1999,Both,Complete Blood Count|FBS|PPBS|Thyroid Profile|Lipid Profile|Urine Complete,Comprehensive basic health checkup
Sri Neevi Value,1499,2999,Both,Complete Blood Count|FBS|PPBS|Thyroid Profile|Lipid Profile|Urine Complete|Vitamin B12|Vitamin D Total,Best value full body screening
Sri Neevi Premium,2499,4999,Both,Complete Blood Count|FBS|PPBS|Thyroid Profile|Lipid Profile|HbA1c|Iron Profile|LFT|KFT|Urine Complete,Premium full body health package
Sri Neevi Elite,3999,7999,Both,Complete Blood Count|FBS|PPBS|Thyroid Profile|Lipid Profile|HbA1c|Iron Profile|LFT|KFT|Urine Complete|Vitamin B12|Vitamin D|Calcium|Phosphorus|Uric Acid,Complete elite health diagnostics
Diabetic & Thyroid,699,1299,Both,FBS|PPBS|HbA1c|Thyroid Profile (T3/T4/TSH)|CBC,Essential screening for diabetes and thyroid
Women's Health Basic,799,1499,Female,CBC|Thyroid Profile|HbA1c|Iron Profile|Vitamin D|Urine Complete,Comprehensive women's health panel
Men's Health Basic,799,1499,Male,CBC|Lipid Profile|KFT|Uric Acid|PSA|FBS,Essential men's health screening
