"Package Name","Price (INR)","Original Price","Gender","Tests Included","Test Count","Description"
"Sri Neevi Mini","499","999","Both","Complete Blood Count | Fbs | Rft [Urea, Creatinine, Uric Acid] | Lipid Profile | Urine Analysis","5","Essential health screening"
"Sri Neevi Basic","999","1999","Both","Complete Hemogram | Glucose (F) | Lipid Profile | Hba1c | Renal Function Test Mini | Liver Function Test | Electrolytes (Na,K,Cl) | Urine Analysis-Complete","8","Comprehensive baseline health"
"Sri Neevi Value","1499","2999","Both","Complete Hemogram | Glucose (F) | Lipid Profile | Hba1c | Renal Function Test Mini | Liver Function Test | Electrolytes (Na,K,Cl) | Calcium, Serum | Phosphorus (Serum) | Thyroid Function Test-Total | Urine Analysis-Complete","11","Best value comprehensive package"
"Sri Neevi Premium (Male)","2999","5999","Male","Complete Hemogram | Glucose (F) | Lipid Profile | Hba1c | Renal Function Test Mini | Liver Function Test | Electrolytes (Na,K,Cl) | Calcium, Serum | Phosphorus (Serum) | Psa-Prostate Specific | Antigen- Total, Serum | Urine Analysis - Complete | Thyroid Profile | Insulin Fasting | Homa-IR","15","Advanced male screening"
"Sri Neevi Premium (Female)","2999","5999","Female","Complete Hemogram | Glucose (F) | Lipid Profile | Hba1c | Renal Function Test Mini | Liver Function Test | Electrolytes (Na,K,Cl) | Calcium, Serum | Phosphorus (Serum) | Ca-125 | Urine Analysis - Complete | Thyroid Profile | Insulin Fasting | Homa-IR","14","Advanced female screening"
"Sri Neevi Elite (Male)","3999","7999","Male","Complete Hemogram | Glucose (F) | Lipid Profile | Hba1c | Renal Function Test Mini | Liver Function Test | Electrolytes (Na,K,Cl) | Calcium, Serum | Phosphorus (Serum) | Iron Deficiency Profile | Psa-Prostate Specific | Antigen- Total, Serum | Urine Analysis - Complete | Thyroid Profile | Insulin Fasting | Homa-IR | Hs CRP","17","Executive male screening"
"Sri Neevi Elite (Female)","3999","7999","Female","Complete Hemogram | Glucose (F) | Lipid Profile | Hba1c | Renal Function Test Mini | Liver Function Test | Electrolytes (Na,K,Cl) | Calcium, Serum | Phosphorus (Serum) | Iron Deficiency Profile | Ca-125 | Urine Analysis - Complete | Thyroid Profile | Insulin Fasting | Homa-IR | Hs CRP","16","Executive female screening"
