"No","Test Name","MRP (INR)","Special Price (INR)","Our Price (INR)"
"476","Colistin Mic By Broth Dilution With Organism Identification","1850","925","925"
"477","Colistin Mic By Broth Micro Dilution","600","300","300"
"478","Common Bile Duct Stone Analysis","1600","800","800"
"479","Common Ragweed- Inhalents (EIA)","500","250","250"
"480","Complete Allergy panel (303) (ALEX)","15000","7500","7500"
"481","Complete Breast Panel","7750","3875","3875"
"482","Complete Haemogram With Peripheral Smear","650","325","325"
"483","Complete Hemogram","400","200","200"
"484","Complete Hemogram (Blood Bank)","400","200","200"
"485","Complete Hemogram With Nlr","550","275","275"
"486","Complete Hemogram With Out Esr","300","150","150"
"487","Coombs Direct","750","375","375"
"488","Coombs Indirect","750","375","375"
"489","Copper - 24 Hrs. Urine","1500","750","750"
"490","Copper - Serum","1100","550","550"
"491","Copper (Random Urine)","1300","650","650"
"492","Copper Stain (Liver Biopsy)","1000","500","500"
"493","Corrected Calcium","440","220","220"
"494","Cortisol - Am","700","350","350"
"495","Cortisol - Pm","700","350","350"
"496","Cortisol (Random)","700","350","350"
"497","Cortisol 24 Hrs Urine","850","425","425"
"498","Cortisol Saliva","800","400","400"
"499","Cortisol Spot Urine","800","400","400"
"500","Covid-19 (Sars-Cov-2) Qualitative Rt-Pcr","440","220","220"
"501","COVID-19 (SARS-CoV-2) Qualitative RT-PCR","400","200","200"
"502","Cow'S Milk (Kefir)- Veg (EIA)","500","250","250"
"503","Coxsackie Virus Antibody Igg","3800","1900","1900"
"504","Coxsackie Virus Antibody Igm","3800","1900","1900"
"505","Cpk - Creatine Phospho Kinase (Total), Serum","450","225","225"
"506","Cpk-Mb, Serum","650","325","325"
"507","Crab- Non Veg (EIA)","500","250","250"
"508","Creatinine - 24 Hrs. Urine","280","140","140"
"509","Creatinine - Ascitic Fluid","280","140","140"
"510","Creatinine ( Drain Fluid )","280","140","140"
"511","Creatinine ( Spot Urine )","170","85","85"
"512","Creatinine (Amniotic Fluid)","280","140","140"
"513","Creatinine (Fluid)","280","140","140"
"514","Creatinine Clearance Serum","440","220","220"
"515","Creatinine Clearance ( 24 Hrs Urine )","550","275","275"
"516","Creatinine, Serum","170","85","85"
"517","Crp-C Reactive Protein","550","275","275"
"518","Cryoglobulins","1650","825","825"
"519","Cryptococcus Antigen Detection By Agglutination","3500","1750","1750"
"520","Csf - Chloride","280","140","140"
"521","Csf - Differencial Count","280","140","140"
"522","Csf - Globulin","450","225","225"
"523","Csf - Glucose","150","75","75"
"524","Csf - Igg","1350","675","675"
"525","Csf - Igm","1320","660","660"
"526","Csf - Measles Igg","2200","1100","1100"
"527","Csf - Measles Igm","2200","1100","1100"
"528","Csf - Protein","280","140","140"
"529","Csf - Pyruvate","1750","875","875"
"530","Csf - Sodium","280","140","140"
"531","Csf - Total Protein","280","140","140"
"532","Csf - Total Wbc Count","280","140","140"
"533","Csf - Vdrl","300","150","150"
"534","Csf Culture With Bactec With Automated Identification & Antibiogram","900","450","450"
"535","Csf Electrolytes","550","275","275"
"536","Csf Fluid For Cryptococcus Antigen","3500","1750","1750"
"537","Csf For Cytology","770","385","385"
"538","Csf For Ocb","4600","2300","2300"
"539","Cucumber- Veg (EIA)","500","250","250"
"540","Curd- Veg (EIA)","500","250","250"
"541","Cyclosporine","4000","2000","2000"
"542","Cyfra (Ca 21.1)","4000","2000","2000"
"543","Cystatin C Serum","2200","1100","1100"
"544","Cystine Quantitative -Urine","8500","4250","4250"
"545","Cyto special stain","1000","500","500"
"546","Cytology Fluid","750","375","375"
"547","Date- Veg (EIA)","500","250","250"
"548","Dbs Tms Profile","8000","4000","4000"
"549","D-Dimer","1000","500","500"
"550","D-Dimer - Ascitic Fluid","1000","500","500"
"551","D-Dimer - Body Fluid","1000","500","500"
"552","Dengue - Igg Elisa","800","400","400"
"553","Dengue - Igm Elisa","800","400","400"
"554","Dengue Ns1 Elisa","900","450","450"
"555","Dengue Igg Igm","1600","800","800"
"556","Dengue Profile","2000","1000","1000"
"557","Deodorant (EIA)","500","250","250"
"558","Dermatophagoides - Farinae- Inhalents (EIA)","500","250","250"
"559","Dermatophagoides - Pteronyssinus- Inhalents (EIA)","500","250","250"
"560","Des Gamma Carboxy Prothrombin (Dcp)/Pivka Ii, Serum","4500","2250","2250"
"561","Desmoglein (Dsg) Level 1","6600","3300","3300"
"562","Desmoglein (Dsg) Level 3","6000","3000","3000"
"563","Dexomethasone (EIA)","500","250","250"
"564","Dhea Dehydroepiandrosterone - Serum","3000","1500","1500"
"565","Dheas","1100","550","550"
"566","Dht- Di Hydro Testosterone Serum","3300","1650","1650"
"567","Diabetes Mellitus","5500","2750","2750"
"568","Diclofenac","2000","1000","1000"
"569","Diclofenac- Drug (EIA)","500","250","250"
"570","Differential Count (Dc)","220","110","110"
"571","Digoxin (Lanoxin) Serum","1300","650","650"
"572","Dilute Russells Viper Venom Test ( Drvvt )","2200","1100","1100"
"573","Diphtheria Antibody Igg","4000","2000","2000"
"574","Dog Dandruff","1000","500","500"
"575","Dog Dandruff (EIA)","500","250","250"
"576","Dog Epithelium","1000","500","500"
"577","Dog Epithelium- Inhalents (EIA)","500","250","250"
"578","Dog Saliva","1000","500","500"
"579","Dopamine Serum","4000","2000","2000"
"580","Double Screening","2100","1050","1050"
"581","Double Screening With Afp","2100","1050","1050"
"582","Double Screening With Plgf","3300","1650","1650"
"583","Double Screening with Scan","3250","1625","1625"
"584","Drug - Amphetamines ( Urine) - Quantative","1500","750","750"
"585","Drug Allergy Panel - (EIA)","6500","3250","3250"
"586","Drugs Of Abuse Panel (Urine) 6 Drugs","2500","1250","1250"
"587","Drugs Of Abuse Panel (Urine) 12 Drugs","4500","2250","2250"
"588","Drugs Of Abuse Panel (Urine) 14 Drugs","5000","2500","2500"
"589","Drugs Of Abuse Panel (Urine) 9 Drugs","3500","1750","1750"
"590","Duck Fethers (EIA)","500","250","250"
"591","Ebv Ebstein Barr Virus - Igm Antibodies","2200","1100","1100"
"592","Ebv Epstein Barr Virus Igg","2200","1100","1100"
"593","Echinococcus Igg ( Elisa)","2200","1100","1100"
"594","Echinococcus (Hydwtid Serology) Igg","2200","1100","1100"
"595","Echovirus Antibody, Igg","3250","1625","1625"
"596","Echovirus Antibody, Igm","3250","1625","1625"
"597","Eczema (Veg & Non Veg - 20 Allerngens) Panel","15500","7750","7750"
"598","Eczema Panel For Vegetarians","12500","6250","6250"
"599","Egfr + Alk Ihc","4500","2250","2250"
"600","Egg- Non Veg (EIA)","500","250","250"
"601","Egg White- Non Veg (EIA)","500","250","250"
"602","Egg Yolk- Non Veg (EIA)","500","250","250"
"603","Electrolytes (Na,K,Cl)","350","175","175"
"604","Electrolytes With Bicarbonate","550","275","275"
"605","Electron Microscopy For Renal Biopsy","12500","6250","6250"
"606","Elm (EIA)","500","250","250"
"607","Eml4 - Alk","6000","3000","3000"
"608","Ena ( Extractable Nuclear Antigen ) Profile","5500","2750","2750"
"609","Endometrium Comprehensive Ihc","10500","5250","5250"
"610","Endomysial Antibody Iga","3500","1750","1750"
"611","Endomysial Antibody Igg","4500","2250","2250"
"612","Endomysial Antibody-Iga","3500","1750","1750"
"613","Endoscopy Biopsy","1250","625","625"
"614","Enhanced First Trimester Screening ( Efts ) / 1T Quad","4500","2250","2250"
"615","Eosinophils In Urine","350","175","175"
"616","Epidermal (Pemphigus) Antibody Ifa In Dilutions","6250","3125","3125"
"617","Erythromycin- Drug (EIA)","450","225","225"
"618","Esr - Erythrocyte Sedimentation Rate","90","45","45"
"619","Estimated Protein Excretion","450","225","225"
"620","Estradiol (E2), Serum","500","250","250"
"621","Estradiol E2 (CLIA)","500","250","250"
"622","Estriol - Free","1100","550","550"
"623","Estriol - Free (Triple)","1100","550","550"
"624","Estrone (E1 )","9500","4750","4750"
"625","Everolimus","7750","3875","3875"
"626","Extended Boh Panel","6200","3100","3100"
"627","Eye Swab Culture (Left)","600","300","300"
"628","Eye Swab Culture (Right)","600","300","300"
"629","Factor Viii Activity","2750","1375","1375"
"630","Factor Ix Activity","3200","1600","1600"
"631","Factor V","3500","1750","1750"
"632","Factor Vii Functional","4000","2000","2000"
"633","Factor Viii (Blood Bank)","2650","1325","1325"
"634","Factor X","6500","3250","3250"
"635","Factor Xiii","3500","1750","1750"
"636","Factor Xiii Activity","3500","1750","1750"
"637","Fatty Acids With Very Long Chains C22 To C26 -Plasma","20000","10000","10000"
"638","Fdp - Fibrinogen Degradation Products, Plasma","1100","550","550"
"639","Fecal Elastase","5500","2750","2750"
"640","Female Hormone Profile","3250","1625","1625"
"641","Ferritin, Serum","900","450","450"
"642","Fertility Index(Amh,Lh,Fsh,Prl,E2,Tsh)","3000","1500","1500"
"643","Fertility Profile 1","1600","800","800"
"644","Fetal Autopsy","6250","3125","3125"
"645","Fever Profile Mini","1650","825","825"
"646","Fever Profile Serology","5000","2500","2500"
"647","Fibrinogen","1000","500","500"
"648","Fibrinogen ( Blood Bank)","1000","500","500"
"649","Filaria Antibody Detection","1600","800","800"
"650","Fire Ant (EIA)","500","250","250"
"651","First Trimester With Plgf (Astria)","4000","2000","2000"
"652","First Trimester Screening (Astria)","2200","1100","1100"
"653","Fish (Cod)- Non Veg (EIA)","500","250","250"
"654","Flu panel complete COVID H1N1 Adeno RSV","7500","3750","3750"
"655","Fnac - Slide (Second Opinion)","850","425","425"
"656","Fnac (Fine Needle Aspiration Cytology)","900","450","450"
"657","Fnac Four Slides","1100","550","550"
"658","Fnac Single Slide","400","200","200"
"659","Fnac Stained & Unstained Slides 6 To 10 Nos","1250","625","625"
"660","Fnac Stained & Unstained Slides More Than 10 Slides","1600","800","800"
"661","Fnac Stained & Unstained Slides Upto 5 Nos","1300","650","650"
"662","Fnac Three Slides","1000","500","500"
"663","Fnac Two Slides","750","375","375"
"664","Folic Acid (Folate) Clia","1000","500","500"
"665","Folic Acid / Folate - Serum","1000","500","500"
"666","Follicle Stimulating hormone FSH (CLIA)","450","225","225"
"667","Fractional Excretion Of Magnesium (Fema)","1100","550","550"
"668","Fractional Excretion Of Uric Acid (Feua)","1100","550","550"
"669","Fractional Excretion Of Urea (Fe Urea)","1100","550","550"
"670","Free Androgen Index","3000","1500","1500"
"671","Free Beta Hcg, Serum","1750","875","875"
"672","Free Beta Hcg, Serum (Triple)","1400","700","700"
"673","Free Light Chains - Kappa &Lambda (Urine)","3850","1925","1925"
"674","Free Light Chains-Kappa & Lambda","3850","1925","1925"
"675","Free Psa (Prostate Specific Antigen), Serum","1100","550","550"
"676","Free Psa Total Psa Ratio","1540","770","770"
"677","Free T3","200","100","100"
"678","Free T4","200","100","100"
"679","Free T4 Tsh","450","225","225"
"680","Free Testosterone, Serum","1100","550","550"
"681","Free Thyroxine FT4 (CLIA)","200","100","100"
"682","Free Triiodothyronine FT3 (CLIA)","200","100","100"
"683","Frozen Tissue Biopsy","8500","4250","4250"
"684","Fructosamine","1500","750","750"
"685","Fructose (Semen)","200","100","100"
"686","Fsh - Follicle Stimulating Hormone, Serum","450","225","225"
"687","Fsh & Lh Stimulation By Gonadotropin Releasing Hormone (Gnrh)","5500","2750","2750"
"688","Fta - Abs Fluorescent Treponemal Antibody Absorption Test, Serum","2200","1100","1100"
"689","Fungus Culture","1250","625","625"
"690","Fungus Culture With Automated Identification & Antibiogram","1500","750","750"
"691","G6Pd (Glucose 6 Phosphate Dehydrogenase) - Qualitative","750","375","375"
"692","G6Pd (Glucose 6 Phosphate Dehydrogenase) - Quantitative","750","375","375"
"693","Gad-Glutamic Acid Decarboxylase","3250","1625","1625"
"694","Galactosemia Enzymes Assay","4000","2000","2000"
"695","Gallbladder Stone Analysis","1650","825","825"
"696","Gamma Glutamyl Transferase (Ggt), Serum","280","140","140"
"697","Garlic- Veg (EIA)","500","250","250"
"698","Gastric Juice Analysis","1750","875","875"
"699","Gastrin, Serum","2650","1325","1325"
"700","Gbm Antibody","2750","1375","1375"
"701","Gelatin","450","225","225"
"702","Gelatin- Drug (EIA)","500","250","250"
"703","Gene Expert For Covid 19","6000","3000","3000"
"704","Gene Xpert Plus","6600","3300","3300"
"705","Gene Xpert PLUS","7000","3500","3500"
"706","Gentamicin","450","225","225"
"707","Gentamicin- Drug (EIA)","500","250","250"
"708","German Cockroach- Inhalents (EIA)","500","250","250"
"709","Gfr-Glomerular Filteration Rate","900","450","450"
"710","Ghee (EIA)","500","250","250"
"711","Ginger- Veg (EIA)","500","250","250"
"712","Gliadin Antibody Iga","3300","1650","1650"
"713","Gliadin Antibody Igg","3300","1650","1650"
"714","Gliadin Antibody Igm","3300","1650","1650"
"715","Globulin(Serum)","300","150","150"
"716","Glucose (F)","60","30","30"
"717","Glucose (Pp)","60","30","30"
"718","Glucose - Ascitic Fluid","120","60","60"
"719","Glucose - Body Fluid","120","60","60"
"720","Glucose - Peritonial Fluid","120","60","60"
"721","Glucose - Synovial Fluid","120","60","60"
"722","Glucose ( 2 Hrs . Pp With 75 Grams Glucose )","250","125","125"
"723","Glucose ( Pleural Fluid )","120","60","60"
"724","Glucose ( Post Lunch )","60","30","30"
"725","Glucose ( Pre-Lunch )","60","30","30"
"726","Glucose (1 1/2 Hrs. Pp)","60","30","30"
"727","Glucose (2 Hrs. Pp)","60","30","30"
"728","Glucose (Post-Dinner)","60","30","30"
"729","Glucose (Pre-Dinner)","60","30","30"
"730","Glucose (Rbs)","60","30","30"
"731","Glucose -1 Hrs Pp","60","30","30"
"732","Gluten- Veg (EIA)","500","250","250"
"733","Glycosaminoglycan Urine","4750","2375","2375"
"734","Grams Stain","300","150","150"
"735","Grape Fruit- Veg (EIA)","500","250","250"
"736","Growth Hormone","1000","500","500"
"737","Gtt Extended 75Gms (3Hours)","350","175","175"
"738","Gtt With 75 Gm Of Glucose","350","175","175"
"739","Guinea Pig Epithelium- Inhalents (EIA)","500","250","250"
"740","Gullain - Barre Syndrome","4400","2200","2200"
"741","Gynace Oncology Test","5500","2750","2750"
"742","H.Pylori Iga- Elisa","2000","1000","1000"
"743","H.Pylori Igg-Elisa","2000","1000","1000"
"744","H.Pylori Igm-Elisa","2000","1000","1000"
"745","H.Pylori Stool Antigen","2000","1000","1000"
"746","Haemoglobin","120","60","60"
"747","Haemoglobin (Blood Bank)","280","140","140"
"748","Haemoglobin Electrophoresis","1400","700","700"
"749","Haemoglobin Electrophoresis By Hplc Method","1500","750","750"
"750","Haemoglobin-Free, Urine","350","175","175"
"751","Hams Test","750","375","375"
"752","Hand Swab Culture And Sensitivity","600","300","300"
"753","Hanging Drop For V.Cholerae, Stool","300","150","150"
"754","Hanta Virus","3250","1625","1625"
"755","Haptoglobin","2750","1375","1375"
"756","Hazel Nut (EIA)","500","250","250"
"757","Hba1C-Glycated Haemoglobin, Blood","350","175","175"
"758","Hbe Ag","1100","550","550"
"759","Hbeag Profile","3500","1750","1750"
"760","Hbsag ( Elisa )","600","300","300"
"761","Hbsag ( Immunochromatography )","400","200","200"
"762","Hc - Any 5 Markers","8000","4000","4000"
"763","Hcv ( Immuno Chromatography )","600","300","300"
"764","Hcv (Elisa)","1100","550","550"
"765","Hdl Cholesterol (Direct)","280","140","140"
"766","He4-(Human Epididymis Protein 4)","2200","1100","1100"
"767","Heat Coagulation Test - Urine","350","175","175"
"768","Heavy Metals Profile","4750","2375","2375"
"769","Hemophilia Panel (Aptt, Factor V111 And Factor 1X)","4750","2375","2375"
"770","Hepatitis E Virus - Igg (Hev Igg)","2000","1000","1000"
"771","Hepatitis E Virus - Igm ( Hev Igm )","2000","1000","1000"
"772","Hepatitis B Virus - Genotyping","7750","3875","3875"
"773","Hepatitis Delta Antibody (Anti-Hdv), Igm","3500","1750","1750"
"774","Hepatitis Panel","8000","4000","4000"
"775","Herpes Simples Virus 1 Igg","1000","500","500"
"776","Herpes Simplex Virus 1 Igm","1000","500","500"
"777","Herpes Simplex Virus 2 Igg","1000","500","500"
"778","Herpes Simplex Virus 2 Igm","1000","500","500"
"779","Hit Antibody (Heparin Induced Thrombocytopenia)","6500","3250","3250"
"780","Hiv 1 & 2 Immunochromatography","450","225","225"
"781","Hiv I & Ii - Elisa","600","300","300"
"782","Hiv I & Ii Western Blot","3500","1750","1750"
"783","Hla-Celiac Disease (Dqb1*02, 1*03, Dqa1*05;01)","6000","3000","3000"
"784","Homa - Ir (Homeostatic Model Assessment Of Insulin Resistance)","1250","625","625"
"785","Homocysteine , Serum","1700","850","850"
"786","Homocysteine Urine","1700","850","850"
"787","Homogentisic Acid ( Urine )","1800","900","900"
"788","Homovanilic Acid (Hva) - Urine","8000","4000","4000"
"789","Homovanilic Acid Spot","5000","2500","2500"
"790","Hormone Profile Female","2250","1125","1125"
"791","Hormone Profile Male","2750","1375","1375"
"792","House Dust- Inhalents (EIA)","500","250","250"
"793","House Fly (EIA)","500","250","250"
"794","House Mites- Inhalents (EIA)","500","250","250"
"795","Hpv(Human Papillomavirus) + Liquid Pap Smear (Lbc)","3500","1750","1750"
"796","HPV(Human Papillomavirus) + Liquid PAP smear (LBC)","3250","1625","1625"
"797","Hs Crp (Cardio Crp)","700","350","350"
"798","Hsv 1 & 2 Ig M Herpes Simplex Virus","1100","550","550"
"799","Hsv 1 & 2 Igg Herpes Simplex Virus","1100","550","550"
"800","Htlv 1 And 2 Virus Total Antibody","7000","3500","3500"
"801","Human Insulin- Drug (EIA)","500","250","250"
"802","Hypersensitive Pneumonitis Profile","16000","8000","8000"
"803","Hypersensitivity Pneumonitis (Hp) Panel","10500","5250","5250"
"804","Idp - Profile ( Guillian Barre Syndrome Profile )","4400","2200","2200"
"805","Ige-Total (Clia)","600","300","300"
"806","Igf Bp-3","7000","3500","3500"
"807","Igg 4 Serum Antibodies","4500","2250","2250"
"808","Igg Index ( Csf)","4750","2375","2375"
"809","Iglon 5 Antibodies","16000","8000","8000"
"810","Ihc - Ck 5 / 6","1650","825","825"
"811","Ihc - Pas Special Stain","650","325","325"
"812","IHC - 10 markers","15000","7500","7500"
"813","Ihc - 7 Markers","10000","5000","5000"
"814","Ihc - Afb Special Staining","650","325","325"
"815","Ihc - Any 2 Markers","3300","1650","1650"
"816","Ihc - Any 4 Markers","6200","3100","3100"
"817","Ihc - Any 6 Markers","9500","4750","4750"
"818","Ihc - Braf V600E","2200","1100","1100"
"819","Ihc - Congo Red Stain","650","325","325"
"820","Ihc - Egfr","1650","825","825"
"821","Ihc - Ema","1650","825","825"
"822","Ihc - Final Diagnostic Panel","13000","6500","6500"
"823","Ihc - Giemsa Stain","650","325","325"
"824","Ihc - Gomori'S (Or G̦m̦ri) Methenamine Silver Stain Or Gms Special Stain","650","325","325"
"825","Ihc - Grocott'S Methenamine Silver Stain (Gms)","650","325","325"
"826","Ihc - Her2U","2200","1100","1100"
"827","Ihc - Iron Stain","650","325","325"
"828","Ihc - Lapra Stain","650","325","325"
"829","Ihc - Mat Stain","650","325","325"
"830","Ihc - Microsatellite Instability Test","9500","4750","4750"
"831","Ihc - Non Hodgkin S Lymphoma Panel","10500","5250","5250"
"832","Ihc - P63","1650","825","825"
"833","Ihc - Pd 1","4200","2100","2100"
"834","Ihc - Pdl1","4600","2300","2300"
"835","Ihc - Ros","5000","2500","2500"
"836","Ihc - Saa","2750","1375","1375"
"837","Ihc - Special Stain","660","330","330"
"838","Ihc - Sv40","5000","2500","2500"
"839","Ihc - Toludin Blue Stain","660","330","330"
"840","Ihc - Ttf1","1650","825","825"
"841","Ihc - Vimentin","1650","825","825"
"842","Ihc Alk 1","1650","825","825"
"843","Ihc Calretinin","1650","825","825"
"844","Ihc Cd34","1650","825","825"
"845","Ihc Cea","1650","825","825"
"846","Ihc Chromogranin","1650","825","825"
"847","Ihc- Ck 7","1650","825","825"
"848","Ihc Ck5","1650","825","825"
"849","Ihc Ckit","9350","4675","4675"
"850","Ihc Cytokeratin - Pan Keratin","1650","825","825"
"851","Ihc Diagnostic Panel Unknow Promary Customised Panels Of Ab","9900","4950","4950"
"852","Ihc- Er, Pr, Her 2","5500","2750","2750"
"853","Ihc Igg4","5000","2500","2500"
"854","Ihc Ki - 67","1650","825","825"
"855","Ihc mlh 1","3000","1500","1500"
"856","Ihc msh 2","3000","1500","1500"
"857","Ihc msh 6","3000","1500","1500"
"858","Ihc Neuron Specific Enolase","1650","825","825"
"859","Ihc Plar 2","4400","2200","2200"
"860","Ihc pms2","3000","1500","1500"
"861","Ihc S100","1650","825","825"
"862","Ihc Soft Tissue Sacroma Diagnostic Panel","11000","5500","5500"
"863","Ihc Unlimited Markers","13200","6600","6600"
"864","Ihc-14 Markers","16500","8250","8250"
"865","Ihc-Afp","1650","825","825"
"866","Ihc-Any 3 Markers","4950","2475","2475"
"867","Ihc-Atrx","1650","825","825"
"868","Ihc-Bcl-2","1650","825","825"
"869","Ihc-Bcl-6","1650","825","825"
"870","Ihc-Berep4","1650","825","825"
"871","Ihc-Beta-Catenin","1650","825","825"
"872","Ihc-C4D","5000","2500","2500"
"873","Ihc-Calcitonin","1650","825","825"
"874","Ihc-Cd 20","1650","825","825"
"875","Ihc-Cd117","1650","825","825"
"876","Ihc-Diagnostic Panel","11000","5500","5500"
"877","Ihc-Er,Pr","3300","1650","1650"
"878","Ihc-Er,Pr,Her2,Ki67","6500","3250","3250"
"879","Ihc-Glioma Panel","10000","5000","5000"
"880","Ihc-Hepper1","1650","825","825"
"881","Ihc-Lca","1650","825","825"
"882","Ihc-Lymphoma Diagnostic Panel","11000","5500","5500"
"883","Ihc-Lymphoma Panel","11000","5500","5500"
"884","Ihc-Neuro Endocrine Markers","6500","3250","3250"
"885","Ihc-P16","4500","2250","2250"
"886","Ihc-Pck","1650","825","825"
"887","Ihc-Pdl-1 22 C3","11000","5500","5500"
"888","Ihc-Sall-4","1650","825","825"
"889","Ihc-Single Marker","1650","825","825"
"890","Ihc-Thyroglobulin","1650","825","825"
"891","Immature Platelet Fraction (Ipf)","400","200","200"
"892","Immuno Fixation Electrophoresis - Quantitative","7750","3875","3875"
"893","Immunofixation Electrophoresis - Urine","7750","3875","3875"
"894","Immunofixation Electrophoresis Qualitative","7000","3500","3500"
"895","Immunoflorescence (Renal Biopsy)","3250","1625","1625"
"896","Immunoflorescence (Skin Biopsy)","3250","1625","1625"
"897","Immunoflorescence With Light Microscopy(Renal Biopsy)","5500","2750","2750"
"898","Immunoflorescence With Light Microscopy(Skin Biopsy)","5500","2750","2750"
"899","Immunofluorescence With Light Microscopy - Liver","5500","2750","2750"
"900","Immunoglobulin A (Iga)","660","330","330"
"901","Immunoglobulin G (Igg)","660","330","330"
"902","Immunoglobulin M (Igm)","660","330","330"
"903","Immunoglobulin Profile","2000","1000","1000"
"904","Inborn Errors Of Metabolism Profile (Blood Spot)","6500","3250","3250"
"905","Inborn Errors Of Metabolism (Metabolic Screening - Urine)","7500","3750","3750"
"906","Indian Ink Stain","200","100","100"
"907","Infectious Mononucleosis","990","495","495"
"908","Inhalant Maxi Panel","12500","6250","6250"
"909","Inhalent Mini Profile (13 Allergen)","11000","5500","5500"
"910","Inhalent Rhinitis Profile (14 Allergen)","11000","5500","5500"
"911","Inhalents Allergy Panel (22) - (EIA)","6500","3250","3250"
"912","Inhibin A","1550","775","775"
"913","Inhibin B","2750","1375","1375"
"914","Insulin Antibody, Serum","3250","1625","1625"
"915","Insulin Link Growth Factor ( Igf1)","4250","2125","2125"
"916","Insulin Random","700","350","350"
"917","Insulin-Fasting, Serum","650","325","325"
"918","Insulin-Post Prandial, Serum","650","325","325"
"919","Inter Leukin 6","3250","1625","1625"
"920","Ionised Calcium, Serum","750","375","375"
"921","Iron - Serum","500","250","250"
"922","Iron Deficiency Profile","1900","950","950"
"923","Iron Profile Maxi","2250","1125","1125"
"924","Iron Profile Mini","1100","550","550"
"925","Islet Cell Antibody","3250","1625","1625"
"926","Japanese Encephalitis Virus Antibody Igm","3500","1750","1750"
"927","Jute- Inhalents (EIA)","500","250","250"
"928","Kefir (EIA)","500","250","250"
"929","Ketone (Serum)","1000","500","500"
"930","Kiwi- Non Veg (EIA)","500","250","250"
"931","Lactate","1100","550","550"
"932","Lactate - Csf","1100","550","550"
"933","Lactate Pyruvate Ratio","2750","1375","1375"
"934","Lamb'S Quarters (EIA)","500","250","250"
"935","Lamotrigine","6200","3100","3100"
"936","Lap Score (Leucocyte Alkaline Phosphatase)","1980","990","990"
"937","Lc1 ( Liver Cytosol Antibody )","5000","2500","2500"
"938","Ldh - Ascitic Fluid","440","220","220"
"939","Ldh - Body Fluid","550","275","275"
"940","Ldh - Csf","550","275","275"
"941","Ldh - Peritonial Fluid","550","275","275"
"942","Ldh - Synovial Fluid","550","275","275"
"943","Ldh ( Pleural Fluid )","550","275","275"
"944","Ldh-Lactate Dehydrogenase, Serum","550","275","275"
"945","Ldl Cholesterol","500","250","250"
"946","Le Cell Detection, Blood","400","200","200"
"947","Lead, Blood","2250","1125","1125"
"948","Lead, Urine Spot","2250","1125","1125"
"949","Lemon- Veg (EIA)","500","250","250"
"950","Lentil (Toor Dal)- Veg (EIA)","500","250","250"
"951","Leptin - Serum","6000","3000","3000"
"952","Leptin, Serum","5500","2750","2750"
"953","Lepto Spira Igg ( Elisa )","1250","625","625"
"954","Lepto Spira Igm ( Elisa )","1250","625","625"
"955","Leptospira Igg ( Immunochromatography )","1100","550","550"
"956","Lettuce (EIA)","500","250","250"
"957","Leukernia Diagnostic Panel (Cll)","14000","7000","7000"
"958","Levetiracetam, Serum","7250","3625","3625"
"959","Levofloxacin (EIA)","500","250","250"
"960","Lh Fsh Prolactine","1100","550","550"
"961","LH, FSH, PROLACTIN (CLIA)","1100","550","550"
"962","Lh/Fsh Ratio","1000","500","500"
"963","Lh-Luteinizing Hormone, Serum","450","225","225"
"964","Light Microscopy - Liver","3750","1875","1875"
"965","Light Microscopy(Renal Biopsy)","3750","1875","1875"
"966","Light Microscopy(Skin Biopsy)","3750","1875","1875"
"967","Lipase - Ascitic Fluid","1100","550","550"
"968","Lipase - Peritonial Fluid","1100","550","550"
"969","Lipase, Serum","1100","550","550"
"970","Lipid Profile","550","275","275"
"971","Lipoprotein A (Lp-A)","1300","650","650"
"972","Lipoprotein Electrophoresis","4000","2000","2000"
"973","Liquid Pap Smear (By Liquid Based Cytology)","900","450","450"
"974","Lithium-Serum","1100","550","550"
"975","Liver Function Test","550","275","275"
"976","Liver/Kidney Microsomal Antibody (Lkm-1)","2200","1100","1100"
"977","Lobstar- Non Veg (EIA)","500","250","250"
"978","Lupus Anti Coagulants","2000","1000","1000"
"979","Lupus Anticoagulant ( Cl)","2000","1000","1000"
"980","Luteinizing hormone LH (CLIA)","450","225","225"
"981","Lyme Borrelia Burgdorferi Igg Ab","3000","1500","1500"
"982","Lyme Borrelia Burgdorferi Igg By Eia","8000","4000","4000"
"983","Lyme Borrelia Burgdorferi Igm Ab","3000","1500","1500"
"984","Lyme Borrelia Burgdorferi Igm By Eia","8000","4000","4000"
"985","Lysozyme Muramidase","12000","6000","6000"
"986","Magnesium ( 24 Hrs Urine )","650","325","325"
"987","Magnesium ( Spot Urine )","550","275","275"
"988","Magnesium (Serum)","550","275","275"
"989","Maize (EIA)","500","250","250"
"990","Malaria Antigen","1750","875","875"
"991","Male Hormone Profile","6000","3000","3000"
"992","Manganese. Serum","3750","1875","1875"
"993","Mango (EIA)","500","250","250"
"994","Mantoux","150","75","75"
"995","Mcv","220","110","110"
"996","Meadow Fescue- Inhalents (EIA)","500","250","250"
"997","Measles Igg Ab","2100","1050","1050"
"998","Measles Igm Ab","2100","1050","1050"
"999","Melon (EIA)","500","250","250"
"1000","Mercury Serum","5000","2500","2500"
"1001","Mercury Urine","5000","2500","2500"
"1002","Meta Chromatic Granules ( Blood )","400","200","200"
"1003","Meta Chromatic Granules ( Urine )","400","200","200"
"1004","Metaboiic Screening Hplc-Urine","6500","3250","3250"
